Description:                  Land area not permanently under water.  Source: Natural Resources Conservation Service of the U.S. Dept. of Agriculture.
Holding name:                 Land Area
Collection name:              US County Data
Date class:                   snapshot
Begin date of output:         N/A
End date of output:           N/A
Time step units:              snapshot
Data units:                   N/A,N/A,N/A,km^2
Fill value:                   N/A,N/A,N/A,-9999

FIPS,State,County,Land Area
19005,Iowa,Allamakee,1656.6
19007,Iowa,Appanoose,1285.4
19009,Iowa,Audubon,1147.8
19011,Iowa,Benton,1855.6
19013,Iowa,Black Hawk,1469.5
19015,Iowa,Boone,1480.2
19017,Iowa,Bremer,1134.3
19019,Iowa,Buchanan,1479.6
19021,Iowa,Buena Vista,1488.8
19023,Iowa,Butler,1503.3
19025,Iowa,Calhoun,1476.8
19027,Iowa,Carroll,1474.6
19029,Iowa,Cass,1461.7
19031,Iowa,Cedar,1501.1
19033,Iowa,Cerro Gordo,1472.2
19035,Iowa,Cherokee,1495.0
19037,Iowa,Chickasaw,1307.2
19039,Iowa,Clarke,1116.7
19041,Iowa,Clay,1473.5
19043,Iowa,Clayton,2017.2
19045,Iowa,Clinton,1800.2
19047,Iowa,Crawford,1850.3
19049,Iowa,Dallas,1519.0
19051,Iowa,Davis,1303.5
19053,Iowa,Decatur,1378.5
19055,Iowa,Delaware,1496.7
19057,Iowa,Des Moines,1077.9
19059,Iowa,Dickinson,987.0
19061,Iowa,Dubuque,1575.3
19063,Iowa,Emmet,1025.0
19065,Iowa,Fayette,1893.2
19067,Iowa,Floyd,1296.5
19069,Iowa,Franklin,1508.6
19071,Iowa,Fremont,1324.3
19073,Iowa,Greene,1472.3
19075,Iowa,Grundy,1301.6
19077,Iowa,Guthrie,1529.7
19079,Iowa,Hamilton,1493.7
19081,Iowa,Hancock,1479.3
19083,Iowa,Hardin,1474.5
19085,Iowa,Harrison,1804.9
19087,Iowa,Henry,1125.3
19089,Iowa,Howard,1226.2
19091,Iowa,Humboldt,1125.2
19093,Iowa,Ida,1118.2
19095,Iowa,Iowa,1519.0
19097,Iowa,Jackson,1647.6
19099,Iowa,Jasper,1890.8
19101,Iowa,Jefferson,1127.6
19103,Iowa,Johnson,1591.7
19105,Iowa,Jones,1490.2
19107,Iowa,Keokuk,1500.2
19109,Iowa,Kossuth,2520.3
19111,Iowa,Lee,1340.1
19113,Iowa,Linn,1858.4
19115,Iowa,Louisa,1041.0
19117,Iowa,Lucas,1115.2
19119,Iowa,Lyon,1521.8
19121,Iowa,Madison,1453.4
19123,Iowa,Mahaska,1478.8
19125,Iowa,Marion,1435.5
19127,Iowa,Marshall,1482.4
19129,Iowa,Mills,1130.7
19131,Iowa,Mitchell,1214.6
19133,Iowa,Monona,1795.3
19135,Iowa,Monroe,1122.6
19137,Iowa,Montgomery,1097.9
19139,Iowa,Muscatine,1136.2
19141,Iowa,O'Brien,1484.4
19143,Iowa,Osceola,1032.9
19145,Iowa,Page,1385.3
19147,Iowa,Palo Alto,1460.4
19149,Iowa,Plymouth,2236.8
19151,Iowa,Pocahontas,1496.4
19153,Iowa,Polk,1475.0
19155,Iowa,Pottawattamie,2471.7
19157,Iowa,Poweshiek,1515.4
19159,Iowa,Ringgold,1392.7
19161,Iowa,Sac,1491.4
19163,Iowa,Scott,1186.0
19165,Iowa,Shelby,1530.5
19167,Iowa,Sioux,1989.0
19169,Iowa,Story,1483.8
19171,Iowa,Tama,1868.3
19173,Iowa,Taylor,1383.0
19175,Iowa,Union,1099.2
19177,Iowa,Van Buren,1256.8
19179,Iowa,Wapello,1118.5
19181,Iowa,Warren,1480.7
19183,Iowa,Washington,1473.3
19185,Iowa,Wayne,1361.4
19187,Iowa,Webster,1852.6
19189,Iowa,Winnebago,1037.3
19191,Iowa,Winneshiek,1786.2
19193,Iowa,Woodbury,2260.2
19195,Iowa,Worth,1036.0
19197,Iowa,Wright,1504.2
20001,Kansas,Allen,1302.9
20003,Kansas,Anderson,1509.9
20005,Kansas,Atchison,1119.8
20007,Kansas,Barber,2937.5
20009,Kansas,Barton,2315.6
20011,Kansas,Bourbon,1650.2
20013,Kansas,Brown,1478.1
20015,Kansas,Butler,3698.9
20017,Kansas,Chase,2009.7
20019,Kansas,Chautauqua,1662.1
20021,Kansas,Cherokee,1520.8
20023,Kansas,Cheyenne,2641.6
20025,Kansas,Clark,2524.6
20027,Kansas,Clay,1667.6
20029,Kansas,Cloud,1853.6
20031,Kansas,Coffey,1632.4
20033,Kansas,Comanche,2041.9
20035,Kansas,Cowley,2917.2
20037,Kansas,Crawford,1535.8
20039,Kansas,Decatur,2314.4
20041,Kansas,Dickinson,2197.5
20043,Kansas,Doniphan,1015.8
20045,Kansas,Douglas,1183.5
20047,Kansas,Edwards,1611.1
20049,Kansas,Elk,1677.9
20051,Kansas,Ellis,2331.0
20053,Kansas,Ellsworth,1854.3
20055,Kansas,Finney,3367.4
20057,Kansas,Ford,2845.3
20059,Kansas,Franklin,1486.4
20061,Kansas,Geary,995.3
20063,Kansas,Gove,2775.1
20065,Kansas,Graham,2326.7
20067,Kansas,Grant,1489.0
20069,Kansas,Gray,2250.6
20071,Kansas,Greeley,2015.2
20073,Kansas,Greenwood,2952.1
20075,Kansas,Hamilton,2581.0
20077,Kansas,Harper,2075.8
20079,Kansas,Harvey,1397.1
20081,Kansas,Haskell,1495.4
20083,Kansas,Hodgeman,2227.3
20085,Kansas,Jackson,1701.3
20087,Kansas,Jefferson,1388.6
20089,Kansas,Jewell,2354.9
20091,Kansas,Johnson,1234.9
20093,Kansas,Kearny,2253.4
20095,Kansas,Kingman,2237.0
20097,Kansas,Kiowa,1871.1
20099,Kansas,Labette,1680.7
20101,Kansas,Lane,1857.7
20103,Kansas,Leavenworth,1200.0
20105,Kansas,Lincoln,1862.0
20107,Kansas,Linn,1550.8
20109,Kansas,Logan,2779.2
20111,Kansas,Lyon,2204.1
20115,Kansas,Marion,2442.8
20117,Kansas,Marshall,2337.8
20113,Kansas,McPherson,2330.5
20119,Kansas,Meade,2534.3
20121,Kansas,Miami,1493.8
20123,Kansas,Mitchell,1812.8
20125,Kansas,Montgomery,1671.2
20127,Kansas,Morris,1806.4
20129,Kansas,Morton,1890.6
20131,Kansas,Nemaha,1862.4
20133,Kansas,Neosho,1481.3
20135,Kansas,Ness,2783.8
20137,Kansas,Norton,2273.7
20139,Kansas,Osage,1822.3
20141,Kansas,Osborne,2311.9
20143,Kansas,Ottawa,1867.8
20145,Kansas,Pawnee,1953.4
20147,Kansas,Phillips,2295.4
20149,Kansas,Pottawatomie,2186.7
20151,Kansas,Pratt,1903.7
20153,Kansas,Rawlins,2770.5
20155,Kansas,Reno,3249.2
20157,Kansas,Republic,1855.9
20159,Kansas,Rice,1881.9
20161,Kansas,Riley,1579.0
20163,Kansas,Rooks,2300.9
20165,Kansas,Rush,1860.3
20167,Kansas,Russell,2291.5
20169,Kansas,Saline,1863.9
20171,Kansas,Scott,1858.5
20173,Kansas,Sedgwick,2590.6
20175,Kansas,Seward,1656.5
20177,Kansas,Shawnee,1424.1
20179,Kansas,Sheridan,2321.7
20181,Kansas,Sherman,2734.7
20183,Kansas,Smith,2319.2
20185,Kansas,Stafford,2051.5
20187,Kansas,Stanton,1761.4
20189,Kansas,Stevens,1884.5
20191,Kansas,Sumner,3061.1
20193,Kansas,Thomas,2783.9
20195,Kansas,Trego,2300.9
20197,Kansas,Wabaunsee,2065.4
20199,Kansas,Wallace,2367.4
20201,Kansas,Washington,2327.1
20203,Kansas,Wichita,1861.1
20205,Kansas,Wilson,1486.4
20207,Kansas,Woodson,1296.7
20209,Kansas,Wyandotte,392.1
21001,Kentucky,Adair,1053.8
21003,Kentucky,Allen,896.5
21005,Kentucky,Anderson,525.0
21007,Kentucky,Ballard,650.5
21009,Kentucky,Barren,1271.6
21011,Kentucky,Bath,723.8
21013,Kentucky,Bell,934.4
21015,Kentucky,Boone,637.8
21017,Kentucky,Bourbon,754.8
21019,Kentucky,Boyd,414.9
21021,Kentucky,Boyle,470.4
21023,Kentucky,Bracken,526.4
21025,Kentucky,Breathitt,1282.6
21027,Kentucky,Breckinridge,1482.6
21029,Kentucky,Bullitt,774.7
21031,Kentucky,Butler,1108.8
21033,Kentucky,Caldwell,898.7
21035,Kentucky,Calloway,1000.5
21037,Kentucky,Campbell,392.6
21039,Kentucky,Carlisle,498.6
21041,Kentucky,Carroll,337.0
21043,Kentucky,Carter,1063.5
21045,Kentucky,Casey,1154.2
21047,Kentucky,Christian,1868.3
21049,Kentucky,Clark,658.7
21051,Kentucky,Clay,1219.9
21053,Kentucky,Clinton,511.4
21055,Kentucky,Crittenden,938.0
21057,Kentucky,Cumberland,792.1
21059,Kentucky,Daviess,1197.7
21061,Kentucky,Edmonson,783.8
21063,Kentucky,Elliott,606.0
21065,Kentucky,Estill,657.9
21067,Kentucky,Fayette,736.9
21069,Kentucky,Fleming,909.3
21071,Kentucky,Floyd,1021.3
21073,Kentucky,Franklin,545.2
21075,Kentucky,Fulton,541.2
21077,Kentucky,Gallatin,256.0
21079,Kentucky,Garrard,598.9
21081,Kentucky,Grant,673.1
21083,Kentucky,Graves,1439.1
21085,Kentucky,Grayson,1304.6
21087,Kentucky,Green,747.9
21089,Kentucky,Greenup,896.7
21091,Kentucky,Hancock,489.0
21093,Kentucky,Hardin,1626.6
21095,Kentucky,Harlan,1210.0
21097,Kentucky,Harrison,802.2
21099,Kentucky,Hart,1077.3
21101,Kentucky,Henderson,1140.0
21103,Kentucky,Henry,749.4
21105,Kentucky,Hickman,633.2
21107,Kentucky,Hopkins,1426.0
21109,Kentucky,Jackson,897.0
21111,Kentucky,Jefferson,997.4
21113,Kentucky,Jessamine,448.5
21115,Kentucky,Johnson,677.4
21117,Kentucky,Kenton,421.1
21119,Kentucky,Knott,912.2
21121,Kentucky,Knox,1004.1
21123,Kentucky,Larue,682.3
21125,Kentucky,Laurel,1128.4
21127,Kentucky,Lawrence,1084.8
21129,Kentucky,Lee,543.6
21131,Kentucky,Leslie,1046.5
21133,Kentucky,Letcher,878.1
21135,Kentucky,Lewis,1254.9
21137,Kentucky,Lincoln,871.7
21139,Kentucky,Livingston,818.7
21141,Kentucky,Logan,1439.3
21143,Kentucky,Lyon,558.8
21151,Kentucky,Madison,1141.5
21153,Kentucky,Magoffin,801.5
21155,Kentucky,Marion,897.9
21157,Kentucky,Marshall,789.7
21159,Kentucky,Martin,597.6
21161,Kentucky,Mason,624.5
21145,Kentucky,McCracken,650.5
21147,Kentucky,McCreary,1107.8
21149,Kentucky,McLean,658.7
21163,Kentucky,Meade,799.1
21165,Kentucky,Menifee,528.1
21167,Kentucky,Mercer,649.9
21169,Kentucky,Metcalfe,753.5
21171,Kentucky,Monroe,856.8
21173,Kentucky,Montgomery,514.4
21175,Kentucky,Morgan,987.6
21177,Kentucky,Muhlenberg,1229.6
21179,Kentucky,Nelson,1094.8
21181,Kentucky,Nicholas,509.2
21183,Kentucky,Ohio,1538.0
21185,Kentucky,Oldham,490.0
21187,Kentucky,Owen,912.1
21189,Kentucky,Owsley,513.1
21191,Kentucky,Pendleton,725.3
21193,Kentucky,Perry,886.2
21195,Kentucky,Pike,2040.2
21197,Kentucky,Powell,466.6
21199,Kentucky,Pulaski,1713.6
21201,Kentucky,Robertson,259.2
21203,Kentucky,Rockcastle,822.4
21205,Kentucky,Rowan,727.4
21207,Kentucky,Russell,656.7
21209,Kentucky,Scott,738.6
21211,Kentucky,Shelby,995.1
21213,Kentucky,Simpson,611.8
21215,Kentucky,Spencer,481.5
21217,Kentucky,Taylor,698.9
21219,Kentucky,Todd,974.8
21221,Kentucky,Trigg,1148.3
21223,Kentucky,Trimble,385.5
21225,Kentucky,Union,893.8
21227,Kentucky,Warren,1412.2
21229,Kentucky,Washington,778.6
21231,Kentucky,Wayne,1189.9
21233,Kentucky,Webster,866.9
21235,Kentucky,Whitley,1140.0
21237,Kentucky,Wolfe,577.1
21239,Kentucky,Woodford,493.9
22001,Louisiana,Acadia,1697.3
22003,Louisiana,Allen,1980.3
22005,Louisiana,Ascension,755.1
22007,Louisiana,Assumption,877.3
22009,Louisiana,Avoyelles,2156.2
22011,Louisiana,Beauregard,3004.8
22013,Louisiana,Bienville,2099.7
22015,Louisiana,Bossier,2171.6
22017,Louisiana,Caddo,2284.7
22019,Louisiana,Calcasieu,2774.4
22021,Louisiana,Caldwell,1371.3
22023,Louisiana,Cameron,3400.8
22025,Louisiana,Catahoula,1822.6
22027,Louisiana,Claiborne,1954.4
22029,Louisiana,Concordia,1803.6
22031,Louisiana,De Soto,2272.1
22033,Louisiana,E. Baton Rouge,1180.2
22035,Louisiana,E. Carroll,1091.6
22037,Louisiana,E. Feliciana,1174.4
22039,Louisiana,Evangeline,1720.6
22041,Louisiana,Franklin,1614.7
22043,Louisiana,Grant,1670.9
22045,Louisiana,Iberia,1489.7
22047,Louisiana,Iberville,1602.4
22049,Louisiana,Jackson,1476.2
22051,Louisiana,Jefferson,792.4
22053,Louisiana,Jefferson Davis,1689.6
22059,Louisiana,La Salle,1615.9
22055,Louisiana,Lafayette,699.0
22057,Louisiana,Lafourche,2809.7
22061,Louisiana,Lincoln,1220.9
22063,Louisiana,Livingston,1678.5
22065,Louisiana,Madison,1616.5
22067,Louisiana,Morehouse,2057.3
22069,Louisiana,Natchitoches,3254.1
22071,Louisiana,Orleans,467.9
22073,Louisiana,Ouachita,1582.5
22075,Louisiana,Plaquemines,2187.6
22077,Louisiana,Pointe Coupee,1443.7
22079,Louisiana,Rapides,3425.7
22081,Louisiana,Red River,1006.5
22083,Louisiana,Richland,1446.5
22085,Louisiana,Sabine,2241.2
22087,Louisiana,St. Bernard,1204.8
22089,Louisiana,St. Charles,734.7
22091,Louisiana,St. Helena,1057.7
22093,Louisiana,St. James,637.5
22095,Louisiana,St. John the Baptist,567.0
22097,Louisiana,St. Landry,2405.3
22099,Louisiana,St. Martin,1916.4
22101,Louisiana,St. Mary,1587.5
22103,Louisiana,St. Tammany,2213.0
22105,Louisiana,Tangipahoa,2046.9
22107,Louisiana,Tensas,1560.6
22109,Louisiana,Terrebonne,3250.6
22111,Louisiana,Union,2273.2
22113,Louisiana,Vermilion,3040.3
22115,Louisiana,Vernon,3440.8
22121,Louisiana,W. Baton Rouge,495.3
22123,Louisiana,W. Carroll,930.9
22125,Louisiana,W. Feliciana,1051.6
22117,Louisiana,Washington,1734.3
22119,Louisiana,Webster,1543.5
22127,Louisiana,Winn,2461.9
23001,Maine,Androscoggin,1218.1
23003,Maine,Aroostook,17280.3
23005,Maine,Cumberland,2164.2
23007,Maine,Franklin,4397.8
23009,Maine,Hancock,4115.8
23011,Maine,Kennebec,2246.8
23013,Maine,Knox,946.9
23015,Maine,Lincoln,1180.0
23017,Maine,Oxford,5382.5
23019,Maine,Penobscot,8795.7
23021,Maine,Piscataquis,10273.3
23023,Maine,Sagadahoc,657.9
23025,Maine,Somerset,10170.5
23027,Maine,Waldo,1890.2
23029,Maine,Washington,6652.6
23031,Maine,York,2566.7
24001,Maryland,Allegany,1101.6
24003,Maryland,Anne Arundel,1077.3
24005,Maryland,Baltimore,1550.3
24510,Maryland,Baltimore (city),209.3
24009,Maryland,Calvert,557.4
24011,Maryland,Caroline,829.2
24013,Maryland,Carroll,1163.3
24015,Maryland,Cecil,901.7
24017,Maryland,Charles,1194.2
24019,Maryland,Dorchester,1444.1
24021,Maryland,Frederick,1717.0
24023,Maryland,Garrett,1678.7
24025,Maryland,Harford,1140.6
24027,Maryland,Howard,653.1
24029,Maryland,Kent,723.8
24031,Maryland,Montgomery,1280.9
24033,Maryland,Prince George's,1259.8
24035,Maryland,Queen Anne's,964.1
24039,Maryland,Somerset,847.5
24037,Maryland,St. Mary's,935.7
24041,Maryland,Talbot,697.2
24043,Maryland,Washington,1186.6
24045,Maryland,Wicomico,977.0
24047,Maryland,Worcester,1225.7
25001,Massachusetts,Barnstable,1025.0
25003,Massachusetts,Berkshire,2412.3
25005,Massachusetts,Bristol,1440.1
25007,Massachusetts,Dukes,268.9
25009,Massachusetts,Essex,1290.0
25011,Massachusetts,Franklin,1818.6
25013,Massachusetts,Hampden,1602.0
25015,Massachusetts,Hampshire,1370.2
25017,Massachusetts,Middlesex,2133.0
25019,Massachusetts,Nantucket,123.8
25021,Massachusetts,Norfolk,1035.0
25023,Massachusetts,Plymouth,1710.9
25025,Massachusetts,Suffolk,151.6
25027,Massachusetts,Worcester,3919.1
26001,Michigan,Alcona,1746.9
26003,Michigan,Alger,2377.5
26005,Michigan,Allegan,2143.3
26007,Michigan,Alpena,1487.1
26009,Michigan,Antrim,1235.3
26011,Michigan,Arenac,950.2
26013,Michigan,Baraga,2341.8
26015,Michigan,Barry,1440.5
26017,Michigan,Bay,1150.6
26019,Michigan,Benzie,832.3
26021,Michigan,Berrien,1479.0
26023,Michigan,Branch,1314.2
26025,Michigan,Calhoun,1836.0
26027,Michigan,Cass,1274.9
26029,Michigan,Charlevoix,1079.6
26031,Michigan,Cheboygan,1853.4
26033,Michigan,Chippewa,4043.2
26035,Michigan,Clare,1468.2
26037,Michigan,Clinton,1480.1
26039,Michigan,Crawford,1445.6
26041,Michigan,Delta,3030.8
26043,Michigan,Dickinson,1985.0
26045,Michigan,Eaton,1493.3
26047,Michigan,Emmet,1212.0
26049,Michigan,Genesee,1656.7
26051,Michigan,Gladwin,1312.7
26053,Michigan,Gogebic,2854.0
26055,Michigan,Grand Traverse,1204.6
26057,Michigan,Gratiot,1476.7
26059,Michigan,Hillsdale,1551.0
26061,Michigan,Houghton,2620.4
26063,Michigan,Huron,2166.8
26065,Michigan,Ingham,1448.4
26067,Michigan,Ionia,1484.7
26069,Michigan,Iosco,1422.3
26071,Michigan,Iron,3021.2
26073,Michigan,Isabella,1487.5
26075,Michigan,Jackson,1830.2
26077,Michigan,Kalamazoo,1455.3
26079,Michigan,Kalkaska,1453.1
26081,Michigan,Kent,2217.7
26083,Michigan,Keweenaw,1401.7
26085,Michigan,Lake,1470.0
26087,Michigan,Lapeer,1694.7
26089,Michigan,Leelanau,902.6
26091,Michigan,Lenawee,1944.0
26093,Michigan,Livingston,1472.2
26095,Michigan,Luce,2338.9
26097,Michigan,Mackinac,2646.0
26099,Michigan,Macomb,1244.3
26101,Michigan,Manistee,1408.6
26103,Michigan,Marquette,4717.2
26105,Michigan,Mason,1282.5
26107,Michigan,Mecosta,1439.5
26109,Michigan,Menominee,2703.1
26111,Michigan,Midland,1350.0
26113,Michigan,Missaukee,1468.0
26115,Michigan,Monroe,1427.4
26117,Michigan,Montcalm,1833.9
26119,Michigan,Montmorency,1418.4
26121,Michigan,Muskegon,1318.8
26123,Michigan,Newaygo,2181.9
26125,Michigan,Oakland,2260.3
26127,Michigan,Oceana,1399.9
26129,Michigan,Ogemaw,1461.7
26131,Michigan,Ontonagon,3397.1
26133,Michigan,Osceola,1466.2
26135,Michigan,Oscoda,1463.4
26137,Michigan,Otsego,1332.8
26139,Michigan,Ottawa,1465.2
26141,Michigan,Presque Isle,1709.5
26143,Michigan,Roscommon,1350.5
26145,Michigan,Saginaw,2095.2
26151,Michigan,Sanilac,2496.4
26153,Michigan,Schoolcraft,3051.5
26155,Michigan,Shiawassee,1395.6
26147,Michigan,St. Clair,1876.3
26149,Michigan,St. Joseph,1304.7
26157,Michigan,Tuscola,2104.6
26159,Michigan,Van Buren,1582.5
26161,Michigan,Washtenaw,1839.1
26163,Michigan,Wayne,1590.6
26165,Michigan,Wexford,1464.8
27001,Minnesota,Aitkin,4712.2
27003,Minnesota,Anoka,1098.1
27005,Minnesota,Becker,3394.2
27007,Minnesota,Beltrami,6488.9
27009,Minnesota,Benton,1057.5
27011,Minnesota,Big Stone,1287.2
27013,Minnesota,Blue Earth,1948.7
27015,Minnesota,Brown,1582.2
27017,Minnesota,Carlton,2228.4
27019,Minnesota,Carver,924.9
27021,Minnesota,Cass,5225.8
27023,Minnesota,Chippewa,1509.5
27025,Minnesota,Chisago,1081.8
27027,Minnesota,Clay,2707.3
27029,Minnesota,Clearwater,2576.4
27031,Minnesota,Cook,3757.4
27033,Minnesota,Cottonwood,1657.6
27035,Minnesota,Crow Wing,2581.4
27037,Minnesota,Dakota,1475.6
27039,Minnesota,Dodge,1138.4
27041,Minnesota,Douglas,1642.9
27043,Minnesota,Faribault,1848.4
27045,Minnesota,Fillmore,2230.7
27047,Minnesota,Freeborn,1832.9
27049,Minnesota,Goodhue,1964.7
27051,Minnesota,Grant,1415.3
27053,Minnesota,Hennepin,1441.7
27055,Minnesota,Houston,1446.4
27057,Minnesota,Hubbard,2389.4
27059,Minnesota,Isanti,1137.2
27061,Minnesota,Itasca,6903.1
27063,Minnesota,Jackson,1818.0
27065,Minnesota,Kanabec,1359.6
27067,Minnesota,Kandiyohi,2062.2
27069,Minnesota,Kittson,2841.5
27071,Minnesota,Koochiching,8035.2
27073,Minnesota,Lac qui Parle,1981.1
27075,Minnesota,Lake,5437.4
27077,Minnesota,Lake of the Woods,3358.5
27079,Minnesota,Le Sueur,1161.7
27081,Minnesota,Lincoln,1391.0
27083,Minnesota,Lyon,1849.9
27087,Minnesota,Mahnomen,1440.5
27089,Minnesota,Marshall,4590.2
27091,Minnesota,Martin,1837.3
27085,Minnesota,McLeod,1274.1
27093,Minnesota,Meeker,1576.2
27095,Minnesota,Mille Lacs,1487.9
27097,Minnesota,Morrison,2912.6
27099,Minnesota,Mower,1842.9
27101,Minnesota,Murray,1824.6
27103,Minnesota,Nicollet,1171.5
27105,Minnesota,Nobles,1853.0
27107,Minnesota,Norman,2269.6
27109,Minnesota,Olmsted,1691.4
27111,Minnesota,Otter Tail,5127.8
27113,Minnesota,Pennington,1596.9
27115,Minnesota,Pine,3654.9
27117,Minnesota,Pipestone,1206.7
27119,Minnesota,Polk,5103.6
27121,Minnesota,Pope,1735.8
27123,Minnesota,Ramsey,403.6
27125,Minnesota,Red Lake,1120.0
27127,Minnesota,Redwood,2278.9
27129,Minnesota,Renville,2545.9
27131,Minnesota,Rice,1288.7
27133,Minnesota,Rock,1250.0
27135,Minnesota,Roseau,4306.3
27139,Minnesota,Scott,924.1
27141,Minnesota,Sherburne,1130.7
27143,Minnesota,Sibley,1524.6
27137,Minnesota,St. Louis,16124.5
27145,Minnesota,Stearns,3482.5
27147,Minnesota,Steele,1112.6
27149,Minnesota,Stevens,1455.8
27151,Minnesota,Swift,1925.8
27153,Minnesota,Todd,2439.9
27155,Minnesota,Traverse,1487.0
27157,Minnesota,Wabasha,1359.9
27159,Minnesota,Wadena,1386.8
27161,Minnesota,Waseca,1096.3
27163,Minnesota,Washington,1014.6
27165,Minnesota,Watonwan,1125.4
27167,Minnesota,Wilkin,1946.3
27169,Minnesota,Winona,1622.2
27171,Minnesota,Wright,1711.6
27173,Minnesota,Yellow Medicine,1963.2
28001,Mississippi,Adams,1192.2
28003,Mississippi,Alcorn,1035.9
28005,Mississippi,Amite,1889.8
28007,Mississippi,Attala,1904.1
28009,Mississippi,Benton,1053.7
28011,Mississippi,Bolivar,2269.7
28013,Mississippi,Calhoun,1519.2
28015,Mississippi,Carroll,1625.9
28017,Mississippi,Chickasaw,1299.1
28019,Mississippi,Choctaw,1085.5
28021,Mississippi,Claiborne,1260.9
28023,Mississippi,Clarke,1790.5
28025,Mississippi,Clay,1058.2
28027,Mississippi,Coahoma,1435.4
28029,Mississippi,Copiah,2011.6
28031,Mississippi,Covington,1071.8
28033,Mississippi,DeSoto,1238.7
28035,Mississippi,Forrest,1208.8
28037,Mississippi,Franklin,1462.4
28039,Mississippi,George,1238.8
28041,Mississippi,Greene,1846.5
28043,Mississippi,Grenada,1092.8
28045,Mississippi,Hancock,1235.2
28047,Mississippi,Harrison,1504.8
28049,Mississippi,Hinds,2251.4
28051,Mississippi,Holmes,1958.2
28053,Mississippi,Humphreys,1082.9
28055,Mississippi,Issaquena,1069.7
28057,Mississippi,Itawamba,1378.9
28059,Mississippi,Jackson,1882.0
28061,Mississippi,Jasper,1751.0
28063,Mississippi,Jefferson,1345.3
28065,Mississippi,Jefferson Davis,1057.9
28067,Mississippi,Jones,1797.2
28069,Mississippi,Kemper,1984.4
28071,Mississippi,Lafayette,1634.7
28073,Mississippi,Lamar,1288.3
28075,Mississippi,Lauderdale,1822.2
28077,Mississippi,Lawrence,1115.4
28079,Mississippi,Leake,1509.3
28081,Mississippi,Lee,1164.6
28083,Mississippi,Leflore,1533.2
28085,Mississippi,Lincoln,1517.1
28087,Mississippi,Lowndes,1301.0
28089,Mississippi,Madison,1862.6
28091,Mississippi,Marion,1404.8
28093,Mississippi,Marshall,1829.6
28095,Mississippi,Monroe,1979.4
28097,Mississippi,Montgomery,1053.8
28099,Mississippi,Neshoba,1476.4
28101,Mississippi,Newton,1497.2
28103,Mississippi,Noxubee,1799.7
28105,Mississippi,Oktibbeha,1185.6
28107,Mississippi,Panola,1772.2
28109,Mississippi,Pearl River,2101.9
28111,Mississippi,Perry,1676.3
28113,Mississippi,Pike,1059.1
28115,Mississippi,Pontotoc,1288.3
28117,Mississippi,Prentiss,1074.8
28119,Mississippi,Quitman,1048.6
28121,Mississippi,Rankin,2006.2
28123,Mississippi,Scott,1577.7
28125,Mississippi,Sharkey,1107.9
28127,Mississippi,Simpson,1524.9
28129,Mississippi,Smith,1647.0
28131,Mississippi,Stone,1153.6
28133,Mississippi,Sunflower,1797.0
28135,Mississippi,Tallahatchie,1667.9
28137,Mississippi,Tate,1047.7
28139,Mississippi,Tippah,1186.1
28141,Mississippi,Tishomingo,1098.6
28143,Mississippi,Tunica,1178.0
28145,Mississippi,Union,1076.2
28147,Mississippi,Walthall,1046.0
28149,Mississippi,Warren,1519.5
28151,Mississippi,Washington,1875.2
28153,Mississippi,Wayne,2098.9
28155,Mississippi,Webster,1095.2
28157,Mississippi,Wilkinson,1752.8
28159,Mississippi,Winston,1572.2
28161,Mississippi,Yalobusha,1209.9
28163,Mississippi,Yazoo,2381.7
29001,Missouri,Adair,1470.4
29003,Missouri,Andrew,1127.2
29005,Missouri,Atchison,1410.9
29007,Missouri,Audrain,1795.8
29009,Missouri,Barry,2018.0
29011,Missouri,Barton,1539.4
29013,Missouri,Bates,2197.7
29015,Missouri,Benton,1827.4
29017,Missouri,Bollinger,1607.8
29019,Missouri,Boone,1775.1
29021,Missouri,Buchanan,1061.3
29023,Missouri,Butler,1806.7
29025,Missouri,Caldwell,1112.1
29027,Missouri,Callaway,2173.3
29029,Missouri,Camden,1696.9
29031,Missouri,Cape Girardeau,1498.7
29033,Missouri,Carroll,1799.0
29035,Missouri,Carter,1314.7
29037,Missouri,Cass,1810.7
29039,Missouri,Cedar,1232.8
29041,Missouri,Chariton,1957.8
29043,Missouri,Christian,1458.7
29045,Missouri,Clark,1314.0
29047,Missouri,Clay,1026.8
29049,Missouri,Clinton,1084.7
29051,Missouri,Cole,1014.1
29053,Missouri,Cooper,1463.5
29055,Missouri,Crawford,1923.3
29057,Missouri,Dade,1270.1
29059,Missouri,Dallas,1402.7
29061,Missouri,Daviess,1468.5
29063,Missouri,DeKalb,1098.7
29065,Missouri,Dent,1951.8
29067,Missouri,Douglas,2109.8
29069,Missouri,Dunklin,1413.2
29071,Missouri,Franklin,2388.2
29073,Missouri,Gasconade,1345.5
29075,Missouri,Gentry,1273.1
29077,Missouri,Greene,1748.3
29079,Missouri,Grundy,1128.9
29081,Missouri,Harrison,1878.3
29083,Missouri,Henry,1819.5
29085,Missouri,Hickory,1032.5
29087,Missouri,Holt,1196.3
29089,Missouri,Howard,1206.3
29091,Missouri,Howell,2403.1
29093,Missouri,Iron,1428.2
29095,Missouri,Jackson,1566.5
29097,Missouri,Jasper,1657.1
29099,Missouri,Jefferson,1701.2
29101,Missouri,Johnson,2151.3
29103,Missouri,Knox,1309.8
29105,Missouri,Laclede,1983.6
29107,Missouri,Lafayette,1630.1
